id,vraag,status,latency_sec,antwoord
1,Wanneer begint het academisch jaar bij UNASAT?,ERROR_422,0.531,N/A...
2,Werkt UNASAT met semesters?,ERROR_422,0.021,N/A...
3,Waar kan ik informatie krijgen over toelatingseisen?,ERROR_422,0.01,N/A...
4,Heeft UNASAT een studentenadministratie?,ERROR_422,0.015,N/A...
5,Waar kunnen studenten terecht voor studiegerelateerde vragen?,ERROR_422,0.012,N/A...
6,Heeft UNASAT een studentenhandleiding?,ERROR_422,0.012,N/A...
7,Heeft UNASAT een orde- en gedragsreglement?,ERROR_422,0.009,N/A...
8,Waar kan ik officiële documenten van UNASAT vinden?,ERROR_422,0.012,N/A...
9,Kan ik UNASAT bezoeken voor informatie?,ERROR_422,0.042,N/A...
10,Heeft UNASAT ICT-gerelateerde opleidingen?,ERROR_422,0.012,N/A...
11,Zijn de opleidingen van UNASAT praktijkgericht?,ERROR_422,0.014,N/A...
12,Is UNASAT gericht op technologie en business?,ERROR_422,0.023,N/A...
13,Hoe kan ik contact opnemen met UNASAT?,ERROR_422,0.007,N/A...
14,Waar kan ik algemene informatie over UNASAT krijgen?,ERROR_422,0.007,N/A...
15,Heeft UNASAT internationale studenten?,ERROR_422,0.01,N/A...
16,Biedt UNASAT ondersteuning aan studenten?,ERROR_422,0.028,N/A...
17,Heeft UNASAT docenten met praktijkervaring?,ERROR_422,0.011,N/A...
18,Wat is het doel van UNASAT?,ERROR_422,0.007,N/A...
19,Wat is het adres van UNASAT?,ERROR_422,0.007,N/A...
20,Welke software opleidingen zijn er?,ERROR_422,0.007,N/A...
